subset,references,metric,value
5size,"[0, 1]",avg_n_stop_words,0.35810977110509473
5size,"[0, 1]",macro_avg_n_stop_words,0.37085777340914056
6size,"[0, 1]",bleu,50.67
6size,"[0, 1]",bleu_1,82.9
6size,"[0, 1]",bleu_2,61.7
6size,"[0, 1]",bleu_3,46.5
6size,"[0, 1]",bleu_4,35.4
6size,"[0, 1]",meteor,0.3858703313913266
6size,"[0, 1]",ter,0.4322111010009099
6size,"[0, 1]",avg_n_tokens,42.041666666666664
6size,"[0, 1]",avg_n_stop_words,0.3736372646184341
6size,"[0, 1]",macro_avg_n_stop_words,0.371621586703321
7size,"[0, 1]",bleu,49.16
7size,"[0, 1]",bleu_1,81.9
7size,"[0, 1]",bleu_2,59.2
7size,"[0, 1]",bleu_3,42.3
7size,"[0, 1]",bleu_4,31.8
7size,"[0, 1]",meteor,0.37989335730254653
7size,"[0, 1]",ter,0.4756335282651072
7size,"[0, 1]",avg_n_tokens,47.333333333333336
7size,"[0, 1]",avg_n_stop_words,0.3853118712273642
7size,"[0, 1]",macro_avg_n_stop_words,0.3835367064994712
all-cat,"[0, 1]",bleu,35.72
all-cat,"[0, 1]",bleu_1,71.5
all-cat,"[0, 1]",bleu_2,46.5
all-cat,"[0, 1]",bleu_3,32.5
all-cat,"[0, 1]",bleu_4,23.2
all-cat,"[0, 1]",meteor,0.31066020428031327
all-cat,"[0, 1]",ter,0.5721739530179746
all-cat,"[0, 1]",avg_n_tokens,20.549409237379162
all-cat,"[0, 1]",avg_n_stop_words,0.3276272116666231
all-cat,"[0, 1]",macro_avg_n_stop_words,0.32307668171299475
new-cat,"[0, 1]",bleu,21.94
new-cat,"[0, 1]",bleu_1,60.6
new-cat,"[0, 1]",bleu_2,32.8
new-cat,"[0, 1]",bleu_3,19.7
new-cat,"[0, 1]",bleu_4,11.6
new-cat,"[0, 1]",meteor,0.24296434531855465
new-cat,"[0, 1]",ter,0.6951582634805454
new-cat,"[0, 1]",avg_n_tokens,18.693602693602692
new-cat,"[0, 1]",avg_n_stop_words,0.31820365033621517
new-cat,"[0, 1]",macro_avg_n_stop_words,0.31944985652723445
old-cat,"[0, 1]",bleu,46.79
old-cat,"[0, 1]",bleu_1,79.9
old-cat,"[0, 1]",bleu_2,57.0
old-cat,"[0, 1]",bleu_3,42.2
old-cat,"[0, 1]",bleu_4,31.8
old-cat,"[0, 1]",meteor,0.36994837875434583
old-cat,"[0, 1]",ter,0.46770251025570175
old-cat,"[0, 1]",avg_n_tokens,22.25231719876416
old-cat,"[0, 1]",avg_n_stop_words,0.3348914703568288
old-cat,"[0, 1]",macro_avg_n_stop_words,0.3264046953489502
