,bleu,meteor,ter,elapsed_time,dp_scorer_n,sa_scorer_n,tems_lm_n,referrer_lm_n,txs_lm_n,max_dp,max_sa,max_refs,max_tems
-2997079483722629233,59.36,0.43278814539409854,0.3561044976232073,92.656697273254,3,3,4,4,3,5,10,2,1
4048792625463327075,60.1,0.4402906936427759,0.3504001950188925,197.5377740859985,3,4,3,3,4,10,10,2,1
-1919753325470433518,59.71,0.43514003073083707,0.35322796895949304,185.7794563770294,4,3,4,3,3,10,10,2,1
3575597674033347762,60.37,0.44115846234833306,0.3508389875269168,44.67166662216186,3,4,3,3,4,10,5,1,2
-8244127458891940577,60.84,0.4419583201046632,0.3487425344330233,88.6145117282867,4,4,4,4,4,10,10,1,2
-3697396534897572121,60.18,0.4377752508205473,0.3538130256368587,9.6991233825683,3,3,4,3,3,5,10,1,1
9168231659084735472,61.03,0.4439236521958977,0.34464713769146393,1424.250597715377,3,4,4,3,4,10,5,2,2
1416776374294621693,61.36,0.44361315637975895,0.3433307601673913,610.496549606323,4,3,4,4,4,5,5,2,2
4669186361788718091,60.15,0.4395548757518768,0.3496688741721855,45.6430497169494,4,3,3,4,4,5,5,2,1
414187908885355652,60.72,0.4427060030336376,0.3481087230325439,23.85111212730407,4,4,4,3,4,5,5,1,2
-2740778354625952819,60.58,0.4401207417314733,0.3475724210782921,4438.13712239265,4,4,3,4,4,10,10,2,2
-4041393585809758918,60.33,0.437985891811151,0.3494738552797303,23.44994521141052,4,3,3,4,3,5,5,1,2
-3128991564156871770,60.0,0.4377684376274213,0.3554706862227279,9.70974230766296,4,4,3,4,4,5,10,1,1
7556414996663928586,60.57,0.44043335977795206,0.3490838174948199,195.7676572799682,4,3,4,4,4,10,10,2,1
1047830374343331248,60.27,0.4386857274986507,0.3549343842684761,11.73488402366638,3,4,4,4,3,10,5,1,1
-6437155682096967735,60.79,0.44295856234620007,0.34737740218583685,23.46228456497192,4,3,4,3,4,5,5,1,2
-7743137287112107411,60.29,0.4401979983992018,0.3497176288952993,99.13756275177,3,4,3,4,4,5,10,2,1
-7114989663763874916,60.06,0.4372988637492262,0.3499614025108683,86.8970999717712,4,3,3,4,3,10,10,1,2
-3881216410502186120,60.17,0.4402698899672491,0.3502051761264373,46.44613671302795,3,4,3,4,4,5,5,2,1
-7218321558887791328,60.34,0.43896586024783546,0.3500101572339821,44.93790483474731,3,4,4,3,3,10,5,1,2
-6905488128572290175,60.43,0.4391302876328722,0.3487425344330233,47.67789196968078,4,3,4,3,3,5,10,1,2
9216337067045433436,60.79,0.4416260380316632,0.3502051761264373,100.7395124435424,4,4,4,4,4,5,10,2,1
8512718626228761220,59.97,0.4378623911114145,0.3494251005566165,43.1523201465606,4,3,3,3,3,10,5,1,2
-2464524222414030039,60.86,0.4419656158904955,0.34557347743062616,4489.85742735862,3,4,4,4,4,10,10,2,2
5986060240594029498,60.19,0.43771110407079256,0.3571283468085972,9.86806082725524,3,3,4,4,3,5,10,1,1
-3429253386006162827,60.74,0.4426062496669008,0.35015642140332354,191.1697514057159,3,3,4,3,4,10,10,2,1
-8076867573671597352,60.72,0.44095665232367903,0.3499126477877545,84.7128174304962,4,3,3,3,4,10,10,1,2
-939251776834521472,60.83,0.43965186011769536,0.34771868524763344,47.0180609226226,4,3,4,4,3,5,10,1,2
